phrase, score
in loving memory of, 28868
in loving memory, 15540
loving memory of, 14750
in memory of, 10860
forever in our hearts, 2140
in loving memory of our, 2112
in our hearts, 2096
in loving memory of my, 1584
loving memory of our, 1448
in loving memory of john, 1356
forever in our, 1338
in loving memory of a, 1326
memory of our, 1180
loving memory of my, 1120
to the memory of, 1084
always in our hearts, 1008
always in our, 998
always in our thoughts, 928
loving memory of john, 924
loving memory of a, 908
memory of my, 874
memory of john, 856
who loved this, 850
family and friends, 848
dedicated to the memory of, 816
in memory of our, 812
memory of a, 798
in our thoughts, 764
in loving memory of my dear, 712
in memory of john, 708
in loving memory of david, 708
who spent many happy, 692
in loving memory of a dear, 688
who spent many happy hours, 642
in loving memory of peter, 606
in loving memory of our dear, 600
who loved this place, 600
in memory of a, 592
the memory of, 586
always in our thoughts forever in our hearts, 576
loving memory of my dear, 558
in loving memory of george, 552
dedicated to the memory, 548
to the memory, 548
spent many happy hours, 540
in loving memory of our parents, 536
in memory of my, 524
loving memory of a dear, 522
memory of my dear, 504
in our thoughts forever in our hearts, 500
always in our thoughts forever in our, 490
in loving memory of margaret, 480
loving memory of david, 476
loved this place, 470
in fond memory of, 464
loving memory of our dear, 462
his family and friends, 456
memory of a dear, 452
memory of our dear, 452
forever in our thoughts, 452
spent many happy, 446
in loving memory of mary, 420
in our thoughts forever in our, 416
missed by all, 416
in loving memory of michael, 414
by family and friends, 408
loving memory of peter, 404
loving memory of our parents, 402
in memory of the, 400
our thoughts forever in our hearts, 400
presented by the, 400
memory of david, 398
in our hearts forever, 392
always in our thoughts forever in, 392
in loving memory of robert, 390
loved and missed by, 388
in loving memory of mum, 384
loved and missed, 384
many happy hours, 382
donated by the, 380
sadly missed by, 372
who spent many, 368
loving memory of george, 368
in loving memory of james, 354
in loving memory of my dear husband, 350
memory of george, 350
memory of our parents, 348
memory of peter, 344
dedicated to the, 344
in loving memory of my dear wife, 340
husband dad and grandad, 340
in loving memory of my husband, 336
in loving memory of joan, 336
in loving memory of william, 336
in loving memory of jack, 336
is dedicated to the memory of, 336
enjoy the view, 336
sadly missed by all, 336
loving memory of margaret, 332
husband father and grandfather, 332
rest in peace, 330
who spent many happy hours here, 328
in loving memory of brian, 324
this seat is dedicated to the memory of, 324
to commemorate the, 322
memory of the, 316
and enjoy the view, 316
in our thoughts forever in, 312
who spent many happy hours in, 312
our thoughts forever in our, 312
in loving memory of jean, 306
in loving memory of alan, 306
memory of my dear wife, 306
spent many happy hours here, 306
in memory of george, 304
thoughts forever in our hearts, 300
his family and, 296
loving memory of my dear husband, 296
by his family and friends, 294
memory of my dear husband, 294
who loved to, 294
always in our thoughts forever, 294
in memory of david, 292
in loving memory of mum and dad, 290
this seat is dedicated to, 288
loving memory of michael, 288
husband father and, 288
loving memory of mary, 284
in loving memory of bill, 282
spent many happy hours in, 282
by his family, 280
loving memory of my dear wife, 280
a much loved, 280
those we love don't go away they, 280
in loving memory of ken, 276
this seat is, 276
love don't go away they walk beside us, 276
we love don't go away they walk beside, 276
treasured memories of, 276
memory of margaret, 272
in loving memory of frank, 270
this seat is dedicated to the memory, 270
seat is dedicated to the memory of, 270
in our hearts and, 268
by all who knew, 264
in memory of peter, 264
memory of mary, 264
loving memory of robert, 264
mum and dad, 262
by his family and, 260
in loving memory of a dear husband, 260
who loved this park, 260
of our dear, 258
loved and missed by all, 258
missed by family and friends, 258
of my dear, 256
this seat is dedicated to the, 256
loving memory of mum, 256
in memory of mrs, 252
loving memory of my husband, 252
is dedicated to the memory, 252
those we love don't go away they walk, 252
this seat was, 250
remembered with love, 250
we love don't go away they, 248
in loving memory of ron, 246
in loving memory of richard, 246
rest a while, 246
and enjoy the, 244
loving memory of james, 244
of a dear, 242
in memory of dr, 240
in loving memory of mum and, 240
in loving memory of mum & dad, 240
memory of michael, 240
love don't go away they walk beside, 240
don't go away they walk beside us, 240
in fond memory, 238
husband dad and, 238
fond memory of, 238
who loved to walk, 236
loving memory of jack, 236
dad and grandad, 236
donated in loving memory of, 234
in loving memory of arthur, 234
in loving memory of harry, 234
in loving memory of jim, 234
memory of our beloved, 232
memory of robert, 232
memory of my husband, 232
loved and remembered, 232
loving memory of mum and dad, 232
those we love don't go away, 232
we love don't go away they walk, 230
in loving memory of betty, 228
memory of william, 228
who loved these gardens, 228
many happy hours in, 228
loving memory of joan, 228
this seat is dedicated, 224
loving memory of william, 224
all the family, 224
in loving memory of paul, 222
in loving memory of the, 222
in loving memory of joyce, 222
much loved and, 222
donated in memory of, 220
in our thoughts forever, 220
memory of mrs, 220
loving memory of brian, 220
in loving memory of fred, 216
seat is dedicated to the memory, 216
many happy hours here, 216
don't go away they walk beside us every, 216
x x x, 216
will always be, 214
in memory of bill, 212
in memory of mary, 212
loved this park, 212
happy memories of, 212
much loved husband, 212
by family and, 210
in loving memory of dorothy, 210
in loving memory of mrs, 210
family & friends, 208
in memory of william, 208
in loving memory of a wonderful, 208
memory of jack, 208
who loved this view, 208
loving memory of a dear husband, 208
loving memory of alan, 208
our hearts forever, 208
our thoughts forever in, 208
love and miss you, 208
is dedicated to the, 208
thoughts forever in our, 208
memory of james, 206
and missed by, 206
in memory of our dear, 204
in our hearts and thoughts, 204
in loving memory of barbara, 204
in loving memory of eric, 204
memory of bill, 204
memory of dr, 204
of my dear wife, 204
of my dear husband, 204
loved and remembered every day, 204
her family and friends, 204
loving memory of jean, 204
all who knew, 204
by the friends of, 200
father and grandfather, 200
go away they walk beside us, 200
don't go away they walk beside, 200
by the rotary club of, 198
in memory of our beloved, 198
in loving memory of roy, 198
in loving memory of dr, 198
in loving memory of bob, 198
in loving memory of tom, 198
by all the family, 196
the rotary club of, 196
who loved the, 196
we miss you, 196
x x x x, 196
a while and, 194
is dedicated to, 194
by all his family, 192
in loving memory of mum &, 192
in loving memory of tony, 192
in loving memory of norman, 192
memory of mum and dad, 192
seat is dedicated to, 192
seat is dedicated to the, 192
loving memory of mum & dad, 192
love don't go away they, 192
love don't go away they walk, 192
we love don't go away, 192
missed by all his family, 192
go away they walk beside us every day, 192
memory of brian, 190
of our parents, 190
in memory of mr, 188
and missed by all, 188
loving memory of bill, 188
loving memory of ken, 188
in loving memory of thomas, 186
memory of a dear husband, 186
memory of joan, 186
missed by all the family, 186
in loving memory of our mum, 184
loving memory of frank, 184
much loved and missed, 184
a while and enjoy the view, 184
all who knew her, 184
presented to the, 182
in memory of margaret, 180
in loving memory of a dear mum, 180
in loving memory of our dear parents, 180
in loving memory of albert, 180
memory of my beloved, 180
memory of alan, 180
who spent many happy hours in this park, 180
spent many happy hours in this park, 180
loving memory of mum and, 180
a while and enjoy the, 180
missed by family and, 180
husband dad & grandad, 180
go away they walk beside us every, 180
those we love don't go, 180
the people of, 178
in remembrance of, 178
memory of frank, 178
in loving memory of our dad, 176
spent many happy hours in this, 176
many happy hours in this park, 176
by all who knew her, 174
in loving memory of ian, 174
forever in our hearts and, 174
in memory of robert, 172
in memory of jack, 172
in memory of michael, 172
you will always be, 172
until we meet again, 172
by his wife, 170
who spent many happy hours in this, 170
part of the surrounding area is dedicated, 170
donated in loving memory, 168
the friends of, 168
in memory of my dear, 168
in this park, 168
in loving memory of kathleen, 168
in ever loving memory of, 168
memory of mum & dad, 168
from all the family, 168
many happy hours in this, 168
loving memory of ron, 168
much loved husband dad, 168
all his family and friends, 168
memory of jean, 166
memory of ken, 166
loved to walk, 166
mum & dad, 166
in fondest memory of, 164
memory of jim, 164
loving memory of richard, 164
a much loved husband, 164
in loving memory of doris, 162
memory of a much loved, 162
this bench is, 162
by all his family and friends, 160
in loving memory of our beloved, 160
in loving memory of john and, 160
loved by all, 160
forever in our hearts and thoughts, 160
much loved husband father, 160
away they walk beside us every day, 160
memory of richard, 158
loved this view, 158
all his family, 158
family in loving memory of, 156
in memory of jim, 156
in memory of my beloved, 156
in loving memory of eileen, 156
in loving memory of gordon, 156
in loving memory of charles, 156
in loving memory of susan, 156
in loving memory of colin, 156
to the people of, 156
loving memory of a wonderful, 156
loving memory of betty, 156
loving memory of arthur, 156
loving memory of harry, 156
loving memory of the, 156
loving memory of jim, 156
our hearts you will always stay loved and, 156
hearts you will always stay loved and remembered, 156
a very special, 156
a while and enjoy, 156
missed by all his, 156
missed by all who knew, 156
go away they walk beside, 156
don't go away they walk, 156
x x x x x, 156
queen elizabeth ii, 156
by her family, 154
memory of mr, 154
with love from, 154
for many years, 154
in memory of charles, 152
in memory of brian, 152
in loving memory of our son, 152
in loving memory of george and, 152
memory of a wonderful, 152
of her majesty queen elizabeth ii, 152
who loved these, 152
loving memory of paul, 152
in memory of a loving, 150
in our hearts in loving memory of, 150
in loving memory of sheila, 150
loved by all who knew, 150
this bench is dedicated to, 150
away they walk beside us, 150
in memory of frank, 148
memory of john and, 148
memory of arthur, 148
memory of mum, 148
from his family, 148
loved and remembered every, 148
